Date,Open,High,Low,Close,Adj Close,Volume
2023-05-04,14.900000,14.920000,14.275000,14.310000,14.297253,3302300
2023-05-05,14.440000,15.225000,14.280000,14.980000,14.966656,4187300
2023-05-08,15.180000,15.216000,14.680000,15.080000,15.066566,2130000
2023-05-09,14.910000,15.415000,14.835000,15.260000,15.246408,3253100
2023-05-10,15.480000,15.575000,15.050000,15.290000,15.276380,2510000
2023-05-11,15.230000,15.415000,15.070000,15.330000,15.316344,1672000
2023-05-12,15.310000,15.460000,14.950000,15.100000,15.086550,1711300
2023-05-15,15.100000,15.505000,15.070000,15.320000,15.306353,2162400
2023-05-16,15.260000,15.260000,15.000000,15.130000,15.116523,1630200
2023-05-17,15.310000,15.680000,15.175000,15.630000,15.616077,2741100
2023-05-18,15.510000,16.049999,15.400000,15.960000,15.945783,4900300
2023-05-19,16.070000,16.090000,15.500000,15.560000,15.546141,3661200
2023-05-22,15.770000,16.764999,15.640000,16.510000,16.495295,7543800
2023-05-23,16.309999,16.719999,16.170000,16.290001,16.275490,5738800
2023-05-24,16.000000,16.389999,15.750000,16.240000,16.225534,4048800
2023-05-25,18.299999,19.190001,17.945000,18.510000,18.493511,29409700
2023-05-26,18.719999,20.000000,18.490000,19.740000,19.722416,15999900
2023-05-30,20.430000,20.530001,19.830000,20.139999,20.122059,9997500
2023-05-31,19.870001,19.906000,18.740000,19.299999,19.282808,5854900
2023-06-01,19.370001,19.650000,19.100000,19.400000,19.382719,4783200
2023-06-02,19.840000,19.959999,19.375000,19.799999,19.782362,4021700
2023-06-05,19.440001,20.139999,19.360001,20.070000,20.052122,4166700
2023-06-06,19.830000,20.389999,19.820000,20.000000,19.982183,2966800
2023-06-07,20.000000,20.610001,19.889999,20.559999,20.541685,5017800
2023-06-08,20.389999,20.674999,20.059999,20.580000,20.561666,3695200
2023-06-09,21.230000,21.350000,20.850000,21.190001,21.171125,3982700
2023-06-12,21.299999,21.540001,21.020000,21.110001,21.091196,4766800
2023-06-13,21.440001,22.514999,21.400000,22.450001,22.430002,6638700
2023-06-14,22.500000,22.799999,22.240000,22.549999,22.529911,4516600
2023-06-15,22.420000,22.775000,22.150000,22.600000,22.579868,4453300
2023-06-16,22.799999,23.090000,22.365000,22.540001,22.519922,7713600
2023-06-20,22.450001,23.405001,22.389999,23.340000,23.319210,5143100
2023-06-21,23.010000,23.180000,22.309999,22.969999,22.949537,4860800
2023-06-22,22.760000,23.430000,22.600000,23.309999,23.289236,4356900
2023-06-23,22.840000,23.730000,22.815001,23.639999,23.618942,6516500
2023-06-26,23.500000,24.260000,23.379999,23.450001,23.429111,7315200
2023-06-27,23.510000,24.014999,23.270000,23.799999,23.778797,3704700
2023-06-28,23.590000,23.770000,23.070000,23.350000,23.329201,5087900
2023-06-29,23.959999,24.329000,23.785000,24.129999,24.108505,8865500
2023-06-30,24.340000,25.010000,24.030001,24.770000,24.747936,5215500
2023-07-03,24.799999,24.910000,24.440001,24.870001,24.847847,1881900
2023-07-05,24.725000,24.780001,24.290001,24.299999,24.278353,3535200
2023-07-06,24.059999,24.165001,23.510000,24.080000,24.058550,3810100
2023-07-07,24.570000,25.000000,24.459999,24.650000,24.628042,2532500
2023-07-10,24.730000,25.504999,24.660000,25.379999,25.357391,2523000
